iter	Passed	Remaining
0	146	146773
1	159	79682
2	166	55384
3	171	42782
4	176	35033
5	180	29849
6	184	26185
7	188	23377
8	191	21037
9	193	19145
10	195	17600
11	198	16327
12	200	15244
13	203	14355
14	207	13623
15	211	12980
16	214	12402
17	217	11881
18	220	11379
19	222	10910
20	225	10495
21	227	10114
22	229	9765
23	233	9479
24	235	9197
25	238	8923
26	240	8670
27	242	8425
28	245	8216
29	247	8014
30	251	7863
31	254	7700
32	258	7564
33	260	7401
34	262	7243
35	265	7114
36	267	6974
37	270	6840
38	272	6713
39	274	6596
40	277	6480
41	280	6398
42	284	6336
43	287	6250
44	290	6165
45	293	6082
46	296	6012
47	298	5927
48	301	5847
49	303	5769
50	305	5693
51	308	5622
52	310	5552
53	313	5493
54	315	5428
55	318	5365
56	320	5306
57	323	5259
58	326	5205
59	329	5164
60	333	5127
61	337	5100
62	339	5050
63	341	5001
64	344	4956
65	346	4908
66	349	4865
67	352	4830
68	355	4800
69	358	4760
70	360	4720
71	363	4679
72	365	4640
73	368	4613
74	371	4585
75	374	4550
76	376	4515
77	379	4484
78	382	4454
79	384	4425
80	387	4395
81	389	4363
82	393	4349
83	395	4317
84	399	4298
85	402	4279
86	404	4249
87	407	4226
88	413	4230
89	420	4253
90	425	4248
91	433	4282
92	439	4286
93	444	4281
94	448	4277
95	453	4272
96	460	4284
97	464	4271
98	467	4255
99	472	4254
100	476	4237
101	479	4217
102	482	4203
103	487	4204
104	491	4188
105	494	4172
106	498	4156
107	501	4145
108	506	4143
109	512	4145
110	516	4133
111	521	4133
112	525	4123
113	529	4118
114	535	4119
115	538	4106
116	543	4102
117	553	4139
118	558	4131
119	562	4123
120	567	4122
121	572	4120
122	574	4099
123	579	4090
124	583	4085
125	589	4086
126	594	4089
127	600	4092
128	603	4076
129	606	4061
130	610	4050
131	614	4038
132	618	4030
133	620	4011
134	628	4024
135	633	4024
136	635	4005
137	641	4005
138	644	3994
139	649	3989
140	652	3977
141	656	3965
142	659	3954
143	664	3950
144	667	3937
145	670	3922
146	672	3905
147	675	3887
148	678	3873
149	682	3866
150	685	3854
151	689	3844
152	691	3827
153	694	3814
154	700	3817
155	704	3809
156	707	3798
157	710	3788
158	714	3777
159	717	3766
160	720	3752
161	722	3737
162	725	3727
163	728	3712
164	730	3697
165	732	3682
166	735	3667
167	737	3652
168	740	3641
169	742	3627
170	745	3613
171	747	3599
172	750	3585
173	752	3571
174	755	3563
175	759	3557
176	762	3545
177	766	3537
178	768	3524
179	771	3514
180	774	3506
181	778	3497
182	781	3486
183	784	3477
184	787	3471
185	791	3463
186	794	3452
187	796	3438
188	798	3427
189	801	3416
190	804	3408
191	807	3397
192	809	3383
193	811	3372
194	813	3359
195	816	3350
196	819	3341
197	822	3332
198	825	3321
199	827	3309
200	829	3298
201	833	3292
202	837	3287
203	841	3281
204	844	3274
205	848	3270
206	852	3264
207	854	3253
208	856	3241
209	859	3232
210	862	3226
211	865	3215
212	868	3208
213	870	3197
214	873	3190
215	876	3182
216	879	3172
217	881	3163
218	884	3155
219	887	3145
220	893	3148
221	896	3142
222	900	3137
223	904	3134
224	907	3125
225	910	3116
226	913	3109
227	915	3099
228	917	3090
229	920	3081
230	922	3070
231	924	3061
232	927	3052
233	929	3043
234	933	3037
235	935	3030
236	939	3025
237	941	3015
238	944	3005
239	946	2997
240	949	2989
241	951	2979
242	953	2970
243	955	2961
244	958	2953
245	960	2944
246	964	2939
247	968	2935
248	971	2929
249	973	2920
250	976	2912
251	978	2905
252	981	2896
253	983	2888
254	985	2878
255	987	2870
256	990	2862
257	992	2854
258	995	2848
259	998	2840
260	1000	2832
261	1002	2824
262	1005	2816
263	1008	2811
264	1011	2804
265	1013	2796
266	1015	2788
267	1018	2780
268	1020	2773
269	1023	2767
270	1028	2765
271	1030	2757
272	1032	2749
273	1034	2742
274	1038	2738
275	1041	2732
276	1045	2729
277	1048	2723
278	1053	2722
279	1059	2725
280	1064	2723
281	1069	2723
282	1074	2722
283	1078	2717
284	1083	2717
285	1087	2715
286	1094	2718
287	1098	2716
288	1103	2714
289	1108	2712
290	1112	2709
291	1115	2704
292	1119	2701
293	1123	2696
294	1126	2692
295	1130	2688
296	1133	2682
297	1137	2678
298	1141	2677
299	1146	2674
300	1149	2670
301	1153	2666
302	1158	2664
303	1162	2661
304	1167	2660
305	1173	2660
306	1178	2659
307	1181	2655
308	1185	2651
309	1189	2648
310	1193	2643
311	1196	2639
312	1203	2642
313	1208	2639
314	1212	2636
315	1217	2635
316	1221	2631
317	1224	2626
318	1227	2619
319	1233	2620
320	1236	2616
321	1239	2610
322	1243	2605
323	1249	2607
324	1252	2601
325	1254	2593
326	1256	2586
327	1259	2580
328	1263	2577
329	1266	2570
330	1268	2563
331	1270	2556
332	1274	2551
333	1277	2546
334	1281	2543
335	1284	2538
336	1287	2532
337	1291	2528
338	1294	2523
339	1297	2519
340	1301	2514
341	1305	2511
342	1307	2505
343	1311	2501
344	1315	2496
345	1318	2491
346	1320	2485
347	1323	2480
348	1326	2474
349	1330	2470
350	1332	2464
351	1335	2458
352	1338	2453
353	1341	2448
354	1344	2443
355	1350	2442
356	1354	2439
357	1358	2436
358	1361	2431
359	1363	2424
360	1366	2418
361	1368	2412
362	1371	2407
363	1374	2402
364	1377	2397
365	1381	2392
366	1383	2386
367	1386	2380
368	1388	2374
369	1390	2368
370	1393	2361
371	1395	2356
372	1397	2349
373	1400	2343
374	1402	2337
375	1405	2333
376	1409	2329
377	1411	2323
378	1414	2317
379	1416	2311
380	1419	2305
381	1426	2307
382	1429	2302
383	1431	2295
384	1433	2289
385	1439	2289
386	1443	2285
387	1445	2280
388	1448	2275
389	1451	2269
390	1455	2266
391	1458	2262
392	1461	2257
393	1464	2253
394	1468	2248
395	1471	2244
396	1473	2238
397	1476	2232
398	1478	2226
399	1481	2222
400	1486	2220
401	1488	2214
402	1491	2209
403	1493	2203
404	1498	2202
405	1506	2203
406	1509	2198
407	1511	2193
408	1515	2189
409	1519	2187
410	1522	2181
411	1524	2175
412	1527	2170
413	1530	2165
414	1532	2160
415	1536	2157
416	1539	2153
417	1543	2148
418	1545	2143
419	1548	2138
420	1550	2132
421	1553	2127
422	1556	2123
423	1558	2117
424	1561	2112
425	1563	2107
426	1565	2101
427	1568	2095
428	1570	2090
429	1573	2085
430	1575	2080
431	1578	2075
432	1581	2071
433	1585	2067
434	1587	2061
435	1593	2060
436	1599	2061
437	1602	2056
438	1606	2052
439	1609	2048
440	1611	2043
441	1614	2038
442	1616	2032
443	1627	2038
444	1630	2033
445	1632	2028
446	1640	2029
447	1644	2025
448	1648	2022
449	1654	2021
450	1657	2017
451	1660	2013
452	1664	2010
453	1667	2005
454	1670	2000
455	1672	1995
456	1674	1989
457	1677	1985
458	1680	1981
459	1684	1977
460	1687	1973
461	1691	1969
462	1693	1964
463	1696	1960
464	1699	1955
465	1701	1950
466	1704	1945
467	1706	1940
468	1708	1934
469	1711	1929
470	1713	1924
471	1715	1919
472	1717	1914
473	1720	1909
474	1722	1904
475	1725	1899
476	1727	1894
477	1730	1889
478	1732	1884
479	1736	1880
480	1739	1876
481	1744	1874
482	1748	1871
483	1751	1867
484	1755	1864
485	1759	1861
486	1765	1859
487	1770	1857
488	1773	1853
489	1778	1850
490	1783	1848
491	1788	1847
492	1794	1845
493	1799	1842
494	1804	1840
495	1809	1838
496	1814	1836
497	1818	1833
498	1823	1830
499	1829	1829
500	1833	1825
501	1840	1825
502	1849	1827
503	1863	1833
504	1874	1837
505	1880	1835
506	1884	1832
507	1889	1830
508	1892	1825
509	1895	1821
510	1898	1817
511	1901	1812
512	1905	1809
513	1908	1804
514	1910	1799
515	1913	1795
516	1916	1790
517	1921	1787
518	1923	1782
519	1926	1777
520	1928	1772
521	1930	1768
522	1933	1763
523	1935	1758
524	1939	1754
525	1942	1750
526	1945	1745
527	1946	1740
528	1949	1735
529	1951	1730
530	1954	1726
531	1956	1720
532	1958	1715
533	1960	1711
534	1963	1706
535	1965	1701
536	1967	1696
537	1970	1692
538	1974	1688
539	1977	1684
540	1980	1680
541	1983	1675
542	1985	1671
543	1988	1667
544	1991	1662
545	1993	1657
546	1995	1652
547	1998	1648
